Quarter,Campus,Item,Course.ID,Title,CREDIT,TYPE.days,Time,Room,Instructor,Enrolled,divider,classCap,Wait.List,FTES.TOTAL,FTES.STATE,Clustered,Type
Fall 2012,South,1151,ESL 011  25,ESL - LEVEL 1A,12,MTWTh,6:00 PM,CAS0212,"Collins, D. ",8,/,25,0,6.4,6.4,1151B232,
Fall 2012,South,1153,ESL 012  25,ESL - LEVEL 1B,12,MTWTh,6:00 PM,CAS0212,"Collins, D. ",15,/,25,0,11.9,11.9,1151B232,
Fall 2012,South,1156,ESL 013  25,ESL - LEVEL 1C,12,MTWTh,6:00 PM,RAH0310,Silas ,16,/,30,0,12.2,12.2,1156B232,
Fall 2012,South,1159,ESL 021  25,ESL - LEVEL 2A,12,MTWTh,6:00 PM,RAH0310,Silas ,5,/,30,0,4,4,1156B232,
Fall 2012,South,1162,ESL 022  25,ESL - LEVEL 2B,12,MTWTh,6:00 PM,CAS0210,Ioselovich ,23,/,30,0,18.4,18.4,,
Fall 2012,South,1165,ESL 023  25,ESL - LEVEL 2C,12,MTWTh,6:00 PM,RAH0309,"Kulik, M. ",31,/,30,0,24.6,24.6,,
Fall 2012,South,1168,ESL 031  25,ESL - LEVEL 3A,12,MTWTh,6:00 PM,RAH0312,"Holly, D. ",27,/,30,0,21.6,21.6,,
Fall 2012,South,1171,ESL 032  25,ESL - LEVEL 3B,12,MTWTh,6:00 PM,CAS0202,Rullan-Milla,26,/,30,0,20.8,20.8,,
Fall 2012,South,1172,ESL 032  26,ESL - LEVEL 3B,12,MTWTh,6:00 PM,RAH0313,"Scheer, Karl",28,/,30,0,22.4,22.4,,
Fall 2012,South,1174,ESL 041  25,ESL - LEVEL 4A,12,MTWTh,6:00 PM,CAS0201,"Ali, Abou ",29,/,30,0,23,23,,
Fall 2012,South,1177,ESL 042  25,ESL - LEVEL 4B,12,MTWTh,6:00 PM,RSB0016,"Rathbun, K. ",18,/,31,0,13.9,13.9,1180B232,
Fall 2012,South,1180,ESL 051  25,ESL - LEVEL 5A,12,MTWTh,6:00 PM,RSB0016,"Rathbun, K. ",11,/,31,0,8.4,8.4,1180B232,
Fall 2012,South,1182,ESL 052  25,ESL - LEVEL 5B,12,MTWTh,6:00 PM,RSB0016,"Rathbun, K. ",5,/,31,0,3.6,3.6,1180B232,
Fall 2012,South,1221,ESL 025  01,WRITING/GRAMMAR LEVEL 2,4,MTWTh,11:00 AM,AUT0134,"Farrelly, B ",16,/,30,0,4.3,4.3,,
Fall 2012,South,1227,ESL 035  01,WRITING/GRAMMAR LEVEL 3,4,MTWTh,11:00 AM,CAS0310,"Miller, T. ",19,/,30,0,5.1,5.1,,
Fall 2012,South,1230,ESL 045  01,WRITING/GRAMMAR LEVEL 4,4,MTWTh,11:00 AM,CAS0202,Williams A ,13,/,30,0,3.5,3.5,,
Fall 2012,South,1233,ESL 055  01,WRITING/GRAMMAR LEVEL 5,4,MTWTh,11:00 AM,CAS0210,Bissonnette ,17,/,30,0,4.4,4.4,,
Fall 2012,South,1241,ESL 049  03,ESL MATH SKILLS - HIGH,4,MTWTh,11:00 AM,CAS0212,"Lysaker, K. ",16,/,25,0,4.3,4.3,,
Fall 2012,South,1242,ESL 049  25,MATH FOR ESL,3,F,6:00 PM,CAS0320,Harness ,16,/,30,0,3.2,3.2,,
Fall 2012,South,1273,ESL 026  01,ESL SPEAK/LISTEN LEV 2,4,MTWTh,11:00 AM,CAS0110,Sun ,17,/,30,0,4.5,4.5,1273B232,
Fall 2012,South,1274,ESL 036  01,ESL SPEAK/LISTEN LEV 3,4,MTWTh,11:00 AM,CAS0110,Sun ,10,/,30,0,2.7,2.7,1273B232,
Fall 2012,South,1285,ESL 068  01,EDUC'L INTERVIEW FOR ESL,0,M,9:00 AM,CAS0110,"French, A ",50,/,70,0,1,1,,
Fall 2012,South,1286,ESL 068  02,EDUC'L INTERVIEW FOR ESL,0,M,9:00 AM,CAS0110,"French, A ",44,/,70,0,0.9,0.9,,
Fall 2012,South,1291,ESL 068  25,EDUC'L INTERVIEW FOR ESL,0,M,6:00 PM,CAS0110,"French, A ",41,/,50,0,0.8,0.8,,
Fall 2012,South,1292,ESL 068  26,EDUC'L INTERVIEW FOR ESL,0,M,6:00 PM,CAS0110,"French, A ",42,/,50,0,0.8,0.8,,
Fall 2012,South,1293,ESL 068  27,EDUC'L INTERVIEW FOR ESL,0,T,6:00 PM,CAS0110,"French, A ",56,/,60,0,1.1,1.1,,
Fall 2012,South,1294,ESL 068  28,EDUC'L INTERVIEW FOR ESL,0,T,6:00 PM,CAS0110,"French, A ",49,/,60,0,1,1,,
